node,t,T,H,x,y
2,17,12.31,57.8,9.551978530516426,11.057400000000158
2,18,13.06,54.36,9.551978530516426,11.057400000000158
2,19,11.44,57.73,9.551978530516426,11.057400000000158
2,20,10.39,59.56,9.551978530516426,11.057400000000158
2,21,11.16,51.74,9.551978530516426,11.057400000000158
2,22,11.4,49.62,9.551978530516426,11.057400000000158
2,23,10.89,53.81,9.551978530516426,11.057400000000158
2,24,11.3,54.22,9.551978530516426,11.057400000000158
2,25,13.49,49.99,9.551978530516426,11.057400000000158
2,26,14.57,52.96,9.551978530516426,11.057400000000158
2,27,16.04,48.21,9.551978530516426,11.057400000000158
2,28,14.67,51.11,9.551978530516426,11.057400000000158
2,29,14.92,51.08,9.551978530516426,11.057400000000158
2,30,14.84,59.66,9.551978530516426,11.057400000000158
2,31,12.94,80.51,9.551978530516426,11.057400000000158
2,32,12.08,62.29,9.551978530516426,11.057400000000158
2,33,12.89,50.79,9.551978530516426,11.057400000000158
2,34,14.06,72.73,9.551978530516426,11.057400000000158
2,35,12.2,70.28,9.551978530516426,11.057400000000158
2,36,10.73,57.86,9.551978530516426,11.057400000000158
2,37,11.47,50.7,9.551978530516426,11.057400000000158
2,38,11.01,50.8,9.551978530516426,11.057400000000158
2,39,13.28,42.71,9.551978530516426,11.057400000000158
2,40,14.85,42.0,9.551978530516426,11.057400000000158
2,41,14.97,46.09,9.551978530516426,11.057400000000158
2,42,16.14,46.38,9.551978530516426,11.057400000000158
2,43,16.73,47.74,9.551978530516426,11.057400000000158
2,44,16.26,48.62,9.551978530516426,11.057400000000158
2,45,16.0,46.88,9.551978530516426,11.057400000000158
2,46,16.47,40.15,9.551978530516426,11.057400000000158
2,47,17.03,39.32,9.551978530516426,11.057400000000158
2,48,17.29,45.65,9.551978530516426,11.057400000000158
2,49,19.37,43.03,9.551978530516426,11.057400000000158
2,50,17.45,54.27,9.551978530516426,11.057400000000158
2,51,15.75,49.43,9.551978530516426,11.057400000000158
2,52,14.95,44.59,9.551978530516426,11.057400000000158
2,53,14.4,40.19,9.551978530516426,11.057400000000158
2,54,14.7,36.89,9.551978530516426,11.057400000000158
2,55,14.27,41.54,9.551978530516426,11.057400000000158
2,56,14.29,40.94,9.551978530516426,11.057400000000158
2,57,14.3,50.33,9.551978530516426,11.057400000000158
2,58,15.96,49.27,9.551978530516426,11.057400000000158
2,59,17.15,49.46,9.551978530516426,11.057400000000158
2,60,18.82,53.55,9.551978530516426,11.057400000000158
2,61,18.26,69.7,9.551978530516426,11.057400000000158
2,62,14.1,64.82,9.551978530516426,11.057400000000158
2,63,12.38,48.2,9.551978530516426,11.057400000000158
2,64,13.25,47.76,9.551978530516426,11.057400000000158
2,65,14.56,46.38,9.551978530516426,11.057400000000158
2,66,16.37,47.26,9.551978530516426,11.057400000000158
2,67,16.71,46.69,9.551978530516426,11.057400000000158
2,68,17.86,46.46,9.551978530516426,11.057400000000158
2,69,19.47,42.01,9.551978530516426,11.057400000000158
2,70,20.69,40.39,9.551978530516426,11.057400000000158
2,71,21.14,42.32,9.551978530516426,11.057400000000158
2,72,19.45,47.41,9.551978530516426,11.057400000000158
2,73,19.46,50.08,9.551978530516426,11.057400000000158
2,74,19.81,45.82,9.551978530516426,11.057400000000158
2,75,20.47,36.42,9.551978530516426,11.057400000000158
2,76,21.41,37.24,9.551978530516426,11.057400000000158
2,77,22.4,38.16,9.551978530516426,11.057400000000158
2,78,22.68,40.4,9.551978530516426,11.057400000000158
2,79,23.72,38.56,9.551978530516426,11.057400000000158
2,80,23.3,39.15,9.551978530516426,11.057400000000158
2,81,23.68,45.03,9.551978530516426,11.057400000000158
2,82,24.56,42.16,9.551978530516426,11.057400000000158
2,83,23.53,38.48,9.551978530516426,11.057400000000158
2,84,23.69,39.62,9.551978530516426,11.057400000000158
2,85,25.78,39.12,9.551978530516426,11.057400000000158
2,86,25.86,41.47,9.551978530516426,11.057400000000158
2,87,26.37,48.28,9.551978530516426,11.057400000000158
2,88,27.47,50.42,9.551978530516426,11.057400000000158
2,89,26.19,54.52,9.551978530516426,11.057400000000158
2,90,25.7,42.06,9.551978530516426,11.057400000000158
2,91,22.85,45.83,9.551978530516426,11.057400000000158
2,92,23.9,39.76,9.551978530516426,11.057400000000158
2,93,26.82,34.12,9.551978530516426,11.057400000000158
2,94,25.91,33.38,9.551978530516426,11.057400000000158
2,95,25.48,34.41,9.551978530516426,11.057400000000158
2,96,24.86,32.67,9.551978530516426,11.057400000000158
2,97,25.75,30.62,9.551978530516426,11.057400000000158
2,98,26.43,29.37,9.551978530516426,11.057400000000158
2,99,26.94,28.28,9.551978530516426,11.057400000000158
2,100,27.38,29.3,9.551978530516426,11.057400000000158
2,101,28.1,31.42,9.551978530516426,11.057400000000158
2,102,28.62,31.12,9.551978530516426,11.057400000000158
2,103,29.1,34.89,9.551978530516426,11.057400000000158
2,104,25.06,52.77,9.551978530516426,11.057400000000158
2,105,27.73,46.43,9.551978530516426,11.057400000000158
2,106,27.7,43.57,9.551978530516426,11.057400000000158
2,107,25.98,40.25,9.551978530516426,11.057400000000158
2,108,28.55,33.03,9.551978530516426,11.057400000000158
2,109,29.1,34.65,9.551978530516426,11.057400000000158
2,110,27.0,42.64,9.551978530516426,11.057400000000158
2,111,28.24,39.07,9.551978530516426,11.057400000000158
2,112,28.38,34.81,9.551978530516426,11.057400000000158
2,113,28.62,33.44,9.551978530516426,11.057400000000158
2,114,28.09,34.95,9.551978530516426,11.057400000000158
